Site,Parameter,Date,Year,Month,Day,Hour,NowCastConc,AQI,AQICat,RawConc,ConcUnit,Duration,QCName
Ho Chi Minh City,PM2.5 - Principal,01DEC17:01:00,2017,12,1,1,31,90,Moderate,35,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC17:02:00,2017,12,1,2,30,89,Moderate,30,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC17:03:00,2017,12,1,3,25,77,Moderate,19,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC17:04:00,2017,12,1,4,30,88,Moderate,35,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC17:05:00,2017,12,1,5,40,112,Unhealthy for Sensitive Groups,50,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC17:06:00,2017,12,1,6,37,106,Unhealthy for Sensitive Groups,35,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC17:07:00,2017,12,1,7,33,94,Moderate,28,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC17:08:00,2017,12,1,8,37,104,Unhealthy for Sensitive Groups,41,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC17:09:00,2017,12,1,9,47,129,Unhealthy for Sensitive Groups,57,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC17:10:00,2017,12,1,10,53,145,Unhealthy for Sensitive Groups,60,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC17:11:00,2017,12,1,11,55,150,Unhealthy for Sensitive Groups,57,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC17:12:00,2017,12,1,12,58,152,Unhealthy,60,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC17:13:00,2017,12,1,13,50,136,Unhealthy for Sensitive Groups,42,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC17:14:00,2017,12,1,14,41,114,Unhealthy for Sensitive Groups,32,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC17:15:00,2017,12,1,15,35,99,Moderate,29,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC17:16:00,2017,12,1,16,34,98,Moderate,34,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC17:17:00,2017,12,1,17,37,104,Unhealthy for Sensitive Groups,39,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC17:18:00,2017,12,1,18,41,115,Unhealthy for Sensitive Groups,46,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC17:19:00,2017,12,1,19,43,120,Unhealthy for Sensitive Groups,45,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC17:20:00,2017,12,1,20,53,143,Unhealthy for Sensitive Groups,62,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC17:21:00,2017,12,1,21,56,151,Unhealthy,59,UG/M3,1 Hr,Valid
