Site,Parameter,Date,Year,Month,Day,Hour,NowCastConc,AQI,AQICat,RawConc,ConcUnit,Duration,QCName
Ho Chi Minh City,PM2.5 - Principal,01FEB21:01:00,2021,2,1,1,26,81,Moderate,28,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01FEB21:02:00,2021,2,1,2,31,90,Moderate,35,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01FEB21:03:00,2021,2,1,3,27,83,Moderate,24,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01FEB21:04:00,2021,2,1,4,25,77,Moderate,22,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01FEB21:05:00,2021,2,1,5,28,85,Moderate,32,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01FEB21:06:00,2021,2,1,6,29,86,Moderate,29,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01FEB21:07:00,2021,2,1,7,34,97,Moderate,39,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01FEB21:08:00,2021,2,1,8,65,156,Unhealthy,96,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01FEB21:09:00,2021,2,1,9,85,166,Unhealthy,105,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01FEB21:10:00,2021,2,1,10,91,169,Unhealthy,97,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01FEB21:11:00,2021,2,1,11,80,164,Unhealthy,69,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01FEB21:12:00,2021,2,1,12,65,156,Unhealthy,50,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01FEB21:13:00,2021,2,1,13,53,144,Unhealthy for Sensitive Groups,41,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01FEB21:14:00,2021,2,1,14,50,135,Unhealthy for Sensitive Groups,46,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01FEB21:15:00,2021,2,1,15,50,136,Unhealthy for Sensitive Groups,50,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01FEB21:16:00,2021,2,1,16,45,125,Unhealthy for Sensitive Groups,41,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01FEB21:17:00,2021,2,1,17,40,111,Unhealthy for Sensitive Groups,34,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01FEB21:18:00,2021,2,1,18,33,96,Moderate,27,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01FEB21:19:00,2021,2,1,19,31,90,Moderate,28,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01FEB21:20:00,2021,2,1,20,26,81,Moderate,22,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01FEB21:21:00,2021,2,1,21,26,80,Moderate,26,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01FEB21:22:00,2021,2,1,22,24,76,Moderate,22,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01FEB21:23:00,2021,2,1,23,22,71,Moderate,19,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,02FEB21:00:00,2021,2,2,0,22,71,Moderate,22,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,02FEB21:01:00,2021,2,2,1,24,77,Moderate,27,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,02FEB21:02:00,2021,2,2,2,24,75,Moderate,23,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,02FEB21:03:00,2021,2,2,3,21,70,Moderate,19,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,02FEB21:04:00,2021,2,2,4,22,71,Moderate,22,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,02FEB21:05:00,2021,2,2,5,23,73,Moderate,24,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,02FEB21:06:00,2021,2,2,6,24,77,Moderate,28,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,02FEB21:07:00,2021,2,2,7,28,84,Moderate,32,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,02FEB21:08:00,2021,2,2,8,48,133,Unhealthy for Sensitive Groups,68,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,02FEB21:09:00,2021,2,2,9,47,128,Unhealthy for Sensitive Groups,45,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,02FEB21:10:00,2021,2,2,10,55,149,Unhealthy for Sensitive Groups,63,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,02FEB21:11:00,2021,2,2,11,62,155,Unhealthy,70,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,02FEB21:12:00,2021,2,2,12,65,156,Unhealthy,67,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,02FEB21:13:00,2021,2,2,13,51,140,Unhealthy for Sensitive Groups,38,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,02FEB21:14:00,2021,2,2,14,40,112,Unhealthy for Sensitive Groups,29,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,02FEB21:15:00,2021,2,2,15,39,108,Unhealthy for Sensitive Groups,37,UG/M3,1 Hr,Valid
