Site,Parameter,Date,Year,Month,Day,Hour,NowCastConc,AQI,AQICat,RawConc,ConcUnit,Duration,QCName
Ho Chi Minh City,PM2.5 - Principal,01DEC20:01:00,2020,12,1,1,32,93,Moderate,39,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC20:02:00,2020,12,1,2,34,97,Moderate,36,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC20:03:00,2020,12,1,3,29,86,Moderate,24,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC20:04:00,2020,12,1,4,39,109,Unhealthy for Sensitive Groups,49,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC20:05:00,2020,12,1,5,42,116,Unhealthy for Sensitive Groups,44,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC20:06:00,2020,12,1,6,42,117,Unhealthy for Sensitive Groups,43,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC20:07:00,2020,12,1,7,41,115,Unhealthy for Sensitive Groups,40,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC20:08:00,2020,12,1,8,38,106,Unhealthy for Sensitive Groups,34,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC20:09:00,2020,12,1,9,35,100,Moderate,33,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC20:10:00,2020,12,1,10,27,81,Moderate,18,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC20:11:00,2020,12,1,11,21,69,Moderate,15,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC20:12:00,2020,12,1,12,21,70,Moderate,21,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC20:13:00,2020,12,1,13,17,61,Moderate,13,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC20:14:00,2020,12,1,14,15,58,Moderate,14,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC20:15:00,2020,12,1,15,14,54,Moderate,12,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC20:16:00,2020,12,1,16,17,62,Moderate,21,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC20:17:00,2020,12,1,17,19,66,Moderate,21,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC20:18:00,2020,12,1,18,20,67,Moderate,20,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC20:19:00,2020,12,1,19,21,70,Moderate,23,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC20:20:00,2020,12,1,20,24,75,Moderate,26,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC20:21:00,2020,12,1,21,22,71,Moderate,20,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC20:22:00,2020,12,1,22,24,76,Moderate,26,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC20:23:00,2020,12,1,23,24,76,Moderate,24,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,02DEC20:00:00,2020,12,2,0,24,77,Moderate,25,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,02DEC20:01:00,2020,12,2,1,29,87,Moderate,34,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,02DEC20:02:00,2020,12,2,2,31,91,Moderate,33,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,02DEC20:03:00,2020,12,2,3,27,82,Moderate,22,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,02DEC20:04:00,2020,12,2,4,27,82,Moderate,27,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,02DEC20:05:00,2020,12,2,5,30,89,Moderate,35,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,02DEC20:06:00,2020,12,2,6,25,77,Moderate,18,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,02DEC20:07:00,2020,12,2,7,29,86,Moderate,33,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,02DEC20:08:00,2020,12,2,8,31,90,Moderate,33,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,02DEC20:09:00,2020,12,2,9,32,92,Moderate,33,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,02DEC20:10:00,2020,12,2,10,25,78,Moderate,18,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,02DEC20:11:00,2020,12,2,11,22,72,Moderate,19,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,02DEC20:12:00,2020,12,2,12,17,61,Moderate,12,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,02DEC20:13:00,2020,12,2,13,13,53,Moderate,9,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,02DEC20:14:00,2020,12,2,14,12,50,Good,11,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,02DEC20:15:00,2020,12,2,15,13,54,Moderate,15,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,02DEC20:16:00,2020,12,2,16,17,61,Moderate,20,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,02DEC20:17:00,2020,12,2,17,16,60,Moderate,16,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,02DEC20:18:00,2020,12,2,18,17,62,Moderate,18,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,02DEC20:19:00,2020,12,2,19,18,63,Moderate,19,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,02DEC20:20:00,2020,12,2,20,20,67,Moderate,21,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,02DEC20:21:00,2020,12,2,21,26,80,Moderate,32,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,02DEC20:22:00,2020,12,2,22,23,75,Moderate,21,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,02DEC20:23:00,2020,12,2,23,21,69,Moderate,18,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,03DEC20:00:00,2020,12,3,0,21,69,Moderate,21,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,03DEC20:01:00,2020,12,3,1,17,62,Moderate,14,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,03DEC20:02:00,2020,12,3,2,22,71,Moderate,26,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,03DEC20:03:00,2020,12,3,3,15,58,Moderate,9,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,03DEC20:04:00,2020,12,3,4,18,63,Moderate,20,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,03DEC20:05:00,2020,12,3,5,25,78,Moderate,32,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,03DEC20:06:00,2020,12,3,6,24,77,Moderate,24,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,03DEC20:07:00,2020,12,3,7,26,80,Moderate,27,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,03DEC20:08:00,2020,12,3,8,28,84,Moderate,30,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,03DEC20:09:00,2020,12,3,9,28,84,Moderate,28,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,03DEC20:10:00,2020,12,3,10,28,84,Moderate,25,UG/M3,1 Hr,Invalid
Ho Chi Minh City,PM2.5 - Principal,03DEC20:11:00,2020,12,3,11,31,91,Moderate,33,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,03DEC20:12:00,2020,12,3,12,28,84,Moderate,25,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,03DEC20:13:00,2020,12,3,13,31,91,Moderate,34,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,03DEC20:14:00,2020,12,3,14,34,96,Moderate,36,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,03DEC20:15:00,2020,12,3,15,29,85,Moderate,23,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,03DEC20:16:00,2020,12,3,16,27,82,Moderate,23,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,03DEC20:17:00,2020,12,3,17,24,76,Moderate,21,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,03DEC20:18:00,2020,12,3,18,22,72,Moderate,20,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,03DEC20:19:00,2020,12,3,19,25,78,Moderate,29,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,03DEC20:20:00,2020,12,3,20,26,79,Moderate,26,UG/M3,1 Hr,Valid
