Site,Parameter,Date,Year,Month,Day,Hour,NowCastConc,AQI,AQICat,RawConc,ConcUnit,Duration,QCName
Ho Chi Minh City,PM2.5 - Principal,01DEC19:01:00,2019,12,1,1,25,79,Moderate,21,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC19:02:00,2019,12,1,2,24,76,Moderate,22,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC19:03:00,2019,12,1,3,24,77,Moderate,25,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC19:04:00,2019,12,1,4,18,63,Moderate,12,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC19:05:00,2019,12,1,5,18,63,Moderate,18,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC19:06:00,2019,12,1,6,22,71,Moderate,25,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC19:07:00,2019,12,1,7,22,72,Moderate,23,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC19:08:00,2019,12,1,8,24,75,Moderate,25,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC19:09:00,2019,12,1,9,21,70,Moderate,19,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC19:10:00,2019,12,1,10,22,72,Moderate,23,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC19:11:00,2019,12,1,11,29,85,Moderate,35,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC19:12:00,2019,12,1,12,41,114,Unhealthy for Sensitive Groups,53,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC19:13:00,2019,12,1,13,50,138,Unhealthy for Sensitive Groups,60,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC19:14:00,2019,12,1,14,50,136,Unhealthy for Sensitive Groups,49,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC19:15:00,2019,12,1,15,42,117,Unhealthy for Sensitive Groups,34,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC19:16:00,2019,12,1,16,48,132,Unhealthy for Sensitive Groups,54,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC19:17:00,2019,12,1,17,52,141,Unhealthy for Sensitive Groups,56,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC19:18:00,2019,12,1,18,38,107,Unhealthy for Sensitive Groups,24,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC19:19:00,2019,12,1,19,30,89,Moderate,23,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC19:20:00,2019,12,1,20,27,83,Moderate,24,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC19:21:00,2019,12,1,21,27,81,Moderate,26,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC19:22:00,2019,12,1,22,23,74,Moderate,19,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,01DEC19:23:00,2019,12,1,23,23,74,Moderate,23,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,02DEC19:00:00,2019,12,2,0,25,79,Moderate,28,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,02DEC19:01:00,2019,12,2,1,27,82,Moderate,28,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,02DEC19:02:00,2019,12,2,2,28,85,Moderate,30,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,02DEC19:03:00,2019,12,2,3,39,109,Unhealthy for Sensitive Groups,49,UG/M3,1 Hr,Valid
